2	142	1
3	142	1
142	144	1
145	147	1
95	149	1
94	150	1
128	150	1
92	151	1
93	151	1
123	151	1
150	151	1
91	152	1
112	152	1
113	152	1
114	152	1
115	152	1
116	152	1
117	152	1
87	153	1
88	153	1
89	153	1
90	153	1
111	153	1
110	154	1
86	156	1
109	156	1
131	156	1
143	156	1
143	157	1
156	157	1
142	158	1
82	160	1
83	160	1
84	160	1
85	160	1
127	160	1
129	160	1
157	160	1
158	162	1
161	163	1
162	164	1
160	166	1
165	166	1
160	167	1
81	168	1
149	168	1
156	169	1
157	169	1
154	170	1
79	171	1
80	171	1
108	171	1
139	171	1
141	171	1
149	171	1
154	171	1
155	171	1
169	171	1
78	172	1
148	173	1
171	174	1
77	175	1
122	175	1
171	176	1
176	177	1
171	178	1
139	179	1
171	179	1
171	180	1
179	180	1
5	181	1
74	181	1
75	181	1
76	181	1
137	181	1
147	181	1
173	181	1
171	182	1
181	183	1
73	184	1
137	184	1
139	184	1
181	185	1
149	186	1
71	187	1
72	187	1
168	189	1
70	190	1
151	190	1
175	190	1
181	190	1
107	191	1
152	191	1
181	191	1
69	192	1
120	192	1
149	192	1
171	193	1
68	194	1
152	194	1
192	195	1
67	196	1
192	196	1
192	197	1
192	198	1
192	199	1
100	200	1
138	200	1
194	201	1
65	202	1
66	202	1
171	202	1
192	204	1
192	205	1
63	206	1
64	206	1
200	206	1
200	207	1
206	207	1
55	208	1
56	208	1
57	208	1
58	208	1
59	208	1
60	208	1
61	208	1
62	208	1
106	208	1
119	208	1
121	208	1
124	208	1
158	208	1
200	208	1
206	208	1
207	208	1
174	209	1
200	210	1
53	214	1
54	214	1
134	214	1
191	214	1
202	215	1
183	217	1
175	218	1
52	219	1
211	219	1
213	219	1
215	219	1
208	221	1
216	221	1
208	223	1
51	225	1
105	225	1
160	225	1
196	225	1
224	225	1
194	226	1
222	226	1
151	227	1
159	227	1
0	228	1
1	228	1
162	228	1
222	229	1
221	230	1
148	231	1
221	232	1
221	233	1
232	233	1
50	234	1
154	234	1
181	234	1
234	236	1
235	236	1
141	237	1
48	238	1
49	238	1
187	238	1
181	239	1
47	241	1
187	241	1
184	242	1
4	243	1
104	245	1
237	245	1
175	246	1
202	247	1
215	247	1
44	248	1
45	248	1
46	248	1
203	248	1
243	248	1
227	249	1
42	250	1
43	250	1
208	251	1
243	252	1
173	253	1
187	254	1
251	255	1
40	256	1
41	256	1
171	256	1
118	257	1
256	257	1
99	258	1
132	258	1
191	258	1
208	259	1
39	261	1
256	261	1
153	262	1
259	262	1
247	263	1
261	264	1
183	265	1
265	266	1
187	267	1
227	267	1
98	268	1
146	268	1
151	268	1
234	268	1
240	268	1
250	268	1
130	269	1
173	269	1
244	269	1
157	270	1
179	270	1
180	270	1
138	271	1
139	271	1
270	272	1
159	273	1
38	274	1
194	274	1
220	274	1
225	274	1
272	274	1
187	275	1
206	276	1
37	277	1
157	277	1
159	278	1
34	279	1
35	279	1
36	279	1
140	279	1
33	280	1
140	280	1
268	280	1
279	280	1
4	281	1
32	281	1
136	281	1
140	281	1
268	281	1
279	281	1
280	281	1
279	282	1
280	282	1
171	283	1
191	284	1
31	285	1
103	285	1
30	287	1
27	288	1
28	288	1
29	288	1
102	288	1
286	288	1
21	289	1
22	289	1
23	289	1
24	289	1
25	289	1
26	289	1
172	289	1
287	289	1
288	289	1
18	290	1
19	290	1
20	290	1
125	290	1
126	290	1
133	290	1
172	290	1
238	290	1
17	291	1
161	291	1
251	291	1
291	293	1
292	293	1
179	294	1
230	294	1
243	294	1
144	296	1
212	296	1
213	297	1
245	298	1
16	299	1
213	299	1
213	300	1
159	301	1
251	302	1
268	303	1
187	304	1
221	305	1
188	306	1
234	306	1
171	307	1
14	308	1
15	308	1
97	308	1
101	308	1
245	308	1
13	309	1
298	309	1
12	310	1
96	310	1
135	310	1
234	310	1
182	311	1
260	311	1
295	311	1
206	312	1
11	313	1
191	314	1
10	315	1
244	315	1
6	316	1
7	316	1
8	316	1
9	316	1
159	316	1
316	317	1
153	318	1
202	319	1
313	319	1
153	320	1
153	321	1
157	322	1
268	322	1
285	322	1
314	323	1
